fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
8,8;0,40;0,40;2,2;0,0790;19;52;0,9980;3,44;0,64;9,2;REGULAR-MALO
7,7;0,69;0,49;1,8;0,1150;20;112;0,9968;3,21;0,71;9,3;REGULAR-MALO
7,5;0,52;0,16;1,9;0,0850;12;35;0,9968;3,38;0,62;9,5;BUENO
7,0;0,74;0,05;2,0;0,0810;13;54;0,9966;3,39;0,57;9,8;REGULAR-MALO
7,2;0,73;0,05;4,7;0,0860;4;11;0,9962;3,41;0,39;10,9;REGULAR-MALO
7,2;0,73;0,05;4,7;0,0860;4;11;0,9962;3,41;0,39;10,9;REGULAR-MALO
7,5;0,52;0,11;1,5;0,0790;11;39;0,9968;3,42;0,58;9,6;REGULAR-MALO
6,6;0,71;0,07;1,6;0,0760;6;15;0,9962;3,44;0,58;10,7;REGULAR-MALO
9,3;0,32;0,57;2,0;0,0740;27;65;0,9969;3,28;0,79;10,7;REGULAR-MALO
8,0;0,71;0,05;1,9;0,0740;8;19;0,9962;3,34;0,95;10,5;REGULAR-BUENO
7,7;0,63;0,08;1,9;0,0760;15;27;0,9967;3,32;0,54;9,5;REGULAR-BUENO
7,7;0,67;0,23;2,1;0,0880;17;96;0,9962;3,32;0,48;9,5;REGULAR-MALO
7,7;0,69;0,22;1,9;0,0840;18;94;0,9961;3,31;0,48;9,5;REGULAR-MALO
8,3;0,68;0,26;2,1;0,0840;11;43;0,9976;3,31;0,53;9,2;MALO
9,7;0,32;0,54;2,5;0,0940;28;83;0,9984;3,28;0,82;9,6;REGULAR-MALO
8,8;0,41;0,64;2,2;0,0930;9;42;0,9986;3,54;0,66;10,5;REGULAR-MALO
8,8;0,41;0,64;2,2;0,0930;9;42;0,9986;3,54;0,66;10,5;REGULAR-MALO
6,8;0,79;0,00;2,4;0,1040;14;30;0,9966;3,52;0,55;10,7;REGULAR-BUENO
6,7;0,75;0,12;2,0;0,0860;12;80;0,9958;3,38;0,52;10,1;REGULAR-MALO
8,3;0,63;0,20;1,5;0,0800;27;119;0,9972;3,16;1,12;9,1;MALO
6,2;0,45;0,20;1,6;0,0690;3;15;0,9958;3,41;0,56;9,2;REGULAR-MALO
7,8;0,43;0,70;1,9;0,4640;22;67;0,9974;3,13;1,28;9,4;REGULAR-MALO
7,4;0,50;0,47;2,0;0,0860;21;73;0,9970;3,36;0,57;9,1;REGULAR-MALO
7,3;0,67;0,26;1,8;0,4010;16;51;0,9969;3,16;1,14;9,4;REGULAR-MALO
6,3;0,30;0,48;1,8;0,0690;18;61;0,9959;3,44;0,78;10,3;REGULAR-BUENO
6,9;0,55;0,15;2,2;0,0760;19;40;0,9961;3,41;0,59;10,1;REGULAR-MALO
8,6;0,49;0,28;1,9;0,1100;20;136;0,9972;2,93;1,95;9,9;REGULAR-BUENO
7,7;0,49;0,26;1,9;0,0620;9;31;0,9966;3,39;0,64;9,6;REGULAR-MALO
9,3;0,39;0,44;2,1;0,1070;34;125;0,9978;3,14;1,22;9,5;REGULAR-MALO
7,0;0,62;0,08;1,8;0,0760;8;24;0,9978;3,48;0,53;9,0;REGULAR-MALO
7,9;0,52;0,26;1,9;0,0790;42;140;0,9964;3,23;0,54;9,5;REGULAR-MALO
8,6;0,49;0,28;1,9;0,1100;20;136;0,9972;2,93;1,95;9,9;REGULAR-BUENO
8,6;0,49;0,29;2,0;0,1100;19;133;0,9972;2,93;1,98;9,8;REGULAR-MALO
7,7;0,49;0,26;1,9;0,0620;9;31;0,9966;3,39;0,64;9,6;REGULAR-MALO
5,0;1,02;0,04;1,4;0,0450;41;85;0,9938;3,75;0,48;10,5;MALO
4,7;0,60;0,17;2,3;0,0580;17;106;0,9932;3,85;0,60;12,9;REGULAR-BUENO
6,8;0,78;0,00;3,0;0,1020;8;23;0,9965;3,45;0,56;10,7;REGULAR-MALO
7,0;0,50;0,25;2,0;0,0700;3;22;0,9963;3,25;0,63;9,2;REGULAR-MALO
7,6;0,90;0,06;2,5;0,0790;5;10;0,9967;3,39;0,56;9,8;REGULAR-MALO
8,1;0,55;0,18;1,9;0,0800;13;35;0,9972;3,30;0,59;9,0;REGULAR-BUENO
8,3;0,61;0,30;2,1;0,0840;11;50;0,9972;3,40;0,61;10,2;REGULAR-BUENO
7,8;0,50;0,30;1,9;0,0750;8;22;0,9959;3,31;0,56;10,4;REGULAR-BUENO
8,1;0,55;0,18;1,9;0,0800;13;35;0,9972;3,30;0,59;9,0;REGULAR-BUENO
8,1;0,58;0,22;2,1;0,0770;12;65;0,9967;3,29;0,51;9,2;REGULAR-MALO
7,2;0,49;0,24;2,2;0,0700;5;36;0,9960;3,33;0,48;9,4;REGULAR-MALO
8,1;0,58;0,22;2,1;0,0770;12;65;0,9967;3,29;0,51;9,2;REGULAR-MALO
7,8;0,41;0,68;1,7;0,4670;18;69;0,9973;3,08;1,31;9,3;REGULAR-MALO
6,2;0,63;0,31;1,7;0,0880;15;64;0,9969;3,46;0,79;9,3;REGULAR-MALO
8,0;0,33;0,53;2,5;0,0910;18;80;0,9976;3,37;0,80;9,6;REGULAR-BUENO
8,1;0,79;0,52;2,0;0,1220;37;153;0,9969;3,21;0,69;9,3;REGULAR-MALO
7,8;0,56;0,19;1,8;0,1040;12;47;0,9964;3,19;0,93;9,5;REGULAR-MALO
8,4;0,62;0,09;2,2;0,0840;11;108;0,9964;3,15;0,66;9,8;REGULAR-MALO
8,4;0,60;0,10;2,2;0,0850;14;111;0,9964;3,15;0,66;9,8;REGULAR-MALO
10,1;0,31;0,44;2,3;0,0800;22;46;0,9988;3,32;0,67;9,7;REGULAR-BUENO
7,8;0,56;0,19;1,8;0,1040;12;47;0,9964;3,19;0,93;9,5;REGULAR-MALO
9,4;0,40;0,31;2,2;0,0900;13;62;0,9966;3,07;0,63;10,5;REGULAR-BUENO
8,3;0,54;0,28;1,9;0,0770;11;40;0,9978;3,39;0,61;10,0;REGULAR-BUENO
7,8;0,56;0,12;2,0;0,0820;7;28;0,9970;3,37;0,50;9,4;REGULAR-BUENO
8,8;0,55;0,04;2,2;0,1190;14;56;0,9962;3,21;0,60;10,9;REGULAR-BUENO
7,0;0,69;0,08;1,8;0,0970;22;89;0,9959;3,34;0,54;9,2;REGULAR-BUENO
7,3;1,07;0,09;1,7;0,1780;10;89;0,9962;3,30;0,57;9,0;REGULAR-MALO
8,8;0,55;0,04;2,2;0,1190;14;56;0,9962;3,21;0,60;10,9;REGULAR-BUENO
7,3;0,70;0,00;2,5;0,0750;3;13;0,9980;3,49;0,52;9,2;REGULAR-MALO
8,0;0,71;0,00;2,6;0,0800;11;34;0,9976;3,44;0,53;9,5;REGULAR-MALO
7,8;0,50;0,17;1,6;0,0820;21;102;0,9960;3,39;0,48;9,5;REGULAR-MALO
9,0;0,62;0,04;1,9;0,1460;27;90;0,9984;3,16;0,70;9,4;REGULAR-MALO
8,2;1,33;0,00;1,7;0,0810;3;12;0,9964;3,53;0,49;10,9;REGULAR-MALO
8,1;1,33;0,00;1,8;0,0820;3;12;0,9964;3,54;0,48;10,9;REGULAR-MALO
8,0;0,59;0,16;1,8;0,0650;3;16;0,9962;3,42;0,92;10,5;BUENO
6,1;0,38;0,15;1,8;0,0720;6;19;0,9955;3,42;0,57;9,4;REGULAR-MALO
8,0;0,75;0,56;2,0;0,1180;30;134;0,9968;3,24;0,66;9,4;REGULAR-MALO
5,6;0,50;0,09;2,3;0,0490;17;99;0,9937;3,63;0,63;13,0;REGULAR-MALO
5,6;0,50;0,09;2,3;0,0490;17;99;0,9937;3,63;0,63;13,0;REGULAR-MALO
6,6;0,50;0,01;1,5;0,0600;17;26;0,9952;3,40;0,58;9,8;REGULAR-BUENO
7,9;1,04;0,05;2,2;0,0840;13;29;0,9959;3,22;0,55;9,9;REGULAR-BUENO
8,4;0,75;0,11;1,9;0,0900;16;63;0,9965;3,19;0,82;9,6;REGULAR-MALO
8,3;0,72;0,15;1,8;0,0890;10;52;0,9968;3,23;0,77;9,5;REGULAR-MALO
7,2;0,42;0,36;2,0;0,0810;13;45;0,9972;3,48;0,64;9,2;REGULAR-MALO
7,8;0,56;0,19;2,1;0,0810;15;105;0,9962;3,33;0,54;9,5;REGULAR-MALO
7,8;0,56;0,19;2,0;0,0810;17;108;0,9962;3,32;0,54;9,5;REGULAR-MALO
8,4;0,75;0,11;1,9;0,0900;16;63;0,9965;3,19;0,82;9,6;REGULAR-MALO
8,3;0,72;0,15;1,8;0,0890;10;52;0,9968;3,23;0,77;9,5;REGULAR-MALO
5,2;0,34;0,00;1,8;0,0500;27;63;0,9916;3,68;0,79;14,0;REGULAR-BUENO
6,3;0,39;0,08;1,7;0,0660;3;20;0,9954;3,34;0,58;9,4;REGULAR-MALO
5,2;0,34;0,00;1,8;0,0500;27;63;0,9916;3,68;0,79;14,0;REGULAR-BUENO
8,1;0,67;0,55;1,8;0,1170;32;141;0,9968;3,17;0,62;9,4;REGULAR-MALO
5,8;0,68;0,02;1,8;0,0870;21;94;0,9944;3,54;0,52;10,0;REGULAR-MALO
7,6;0,49;0,26;1,6;0,2360;10;88;0,9968;3,11;0,80;9,3;REGULAR-MALO
6,9;0,49;0,10;2,3;0,0740;12;30;0,9959;3,42;0,58;10,2;REGULAR-BUENO
8,2;0,40;0,44;2,8;0,0890;11;43;0,9975;3,53;0,61;10,5;REGULAR-BUENO
7,3;0,33;0,47;2,1;0,0770;5;11;0,9958;3,33;0,53;10,3;REGULAR-BUENO
9,2;0,52;1,00;3,4;0,6100;32;69;0,9996;2,74;2,00;9,4;MALO
7,5;0,60;0,03;1,8;0,0950;25;99;0,9950;3,35;0,54;10,1;REGULAR-MALO
7,5;0,60;0,03;1,8;0,0950;25;99;0,9950;3,35;0,54;10,1;REGULAR-MALO
7,1;0,43;0,42;5,5;0,0700;29;129;0,9973;3,42;0,72;10,5;REGULAR-MALO
7,1;0,43;0,42;5,5;0,0710;28;128;0,9973;3,42;0,71;10,5;REGULAR-MALO
7,1;0,43;0,42;5,5;0,0700;29;129;0,9973;3,42;0,72;10,5;REGULAR-MALO
7,1;0,43;0,42;5,5;0,0710;28;128;0,9973;3,42;0,71;10,5;REGULAR-MALO
7,1;0,68;0,00;2,2;0,0730;12;22;0,9969;3,48;0,50;9,3;REGULAR-MALO
6,8;0,60;0,18;1,9;0,0790;18;86;0,9968;3,59;0,57;9,3;REGULAR-BUENO
7,6;0,95;0,03;2,0;0,0900;7;20;0,9959;3,20;0,56;9,6;REGULAR-MALO
7,6;0,68;0,02;1,3;0,0720;9;20;0,9965;3,17;1,08;9,2;MALO
7,8;0,53;0,04;1,7;0,0760;17;31;0,9964;3,33;0,56;10,0;REGULAR-BUENO
7,4;0,60;0,26;7,3;0,0700;36;121;0,9982;3,37;0,49;9,4;REGULAR-MALO
7,3;0,59;0,26;7,2;0,0700;35;121;0,9981;3,37;0,49;9,4;REGULAR-MALO
7,8;0,63;0,48;1,7;0,1000;14;96;0,9961;3,19;0,62;9,5;REGULAR-MALO
6,8;0,64;0,10;2,1;0,0850;18;101;0,9956;3,34;0,52;10,2;REGULAR-MALO
7,3;0,55;0,03;1,6;0,0720;17;42;0,9956;3,37;0,48;9,0;MALO
6,8;0,63;0,07;2,1;0,0890;11;44;0,9953;3,47;0,55;10,4;REGULAR-BUENO
7,5;0,71;0,24;1,8;0,3600;15;63;0,9964;3,00;1,59;9,5;REGULAR-MALO
7,9;0,89;0,03;1,8;0,0580;4;8;0,9972;3,36;0,33;9,1;MALO
8,0;0,42;0,17;2,0;0,0730;6;18;0,9972;3,29;0,61;9,2;REGULAR-BUENO
8,0;0,42;0,17;2,0;0,0730;6;18;0,9972;3,29;0,61;9,2;REGULAR-BUENO
7,4;0,62;0,05;1,9;0,0680;24;42;0,9961;3,42;0,57;11,5;REGULAR-BUENO
7,3;0,38;0,21;2,0;0,0800;7;35;0,9961;3,33;0,47;9,5;REGULAR-MALO
6,9;0,50;0,04;1,5;0,0850;19;49;0,9958;3,35;0,78;9,5;REGULAR-MALO
7,3;0,38;0,21;2,0;0,0800;7;35;0,9961;3,33;0,47;9,5;REGULAR-MALO
7,5;0,52;0,42;2,3;0,0870;8;38;0,9972;3,58;0,61;10,5;REGULAR-BUENO
7,0;0,81;0,00;2,5;0,0680;7;20;0,9969;3,48;0,56;9,6;REGULAR-MALO
8,8;0,61;0,14;2,4;0,0670;10;42;0,9969;3,19;0,59;9,5;REGULAR-MALO
8,8;0,61;0,14;2,4;0,0670;10;42;0,9969;3,19;0,59;9,5;REGULAR-MALO
8,9;0,61;0,49;2,0;0,2700;23;110;0,9972;3,12;1,02;9,3;REGULAR-MALO
7,2;0,73;0,02;2,5;0,0760;16;42;0,9972;3,44;0,52;9,3;REGULAR-MALO
6,8;0,61;0,20;1,8;0,0770;11;65;0,9971;3,54;0,58;9,3;REGULAR-MALO
6,7;0,62;0,21;1,9;0,0790;8;62;0,9970;3,52;0,58;9,3;REGULAR-BUENO
8,9;0,31;0,57;2,0;0,1110;26;85;0,9971;3,26;0,53;9,7;REGULAR-MALO
7,4;0,39;0,48;2,0;0,0820;14;67;0,9972;3,34;0,55;9,2;REGULAR-MALO
7,7;0,71;0,10;2,6;0,0840;9;26;0,9976;3,39;0,49;9,7;REGULAR-MALO
7,9;0,50;0,33;2,0;0,0840;15;143;0,9968;3,20;0,55;9,5;REGULAR-MALO
7,9;0,49;0,32;1,9;0,0820;17;144;0,9968;3,20;0,55;9,5;REGULAR-MALO
8,2;0,50;0,35;2,9;0,0770;21;127;0,9976;3,23;0,62;9,4;REGULAR-MALO
6,4;0,37;0,25;1,9;0,0740;21;49;0,9974;3,57;0,62;9,8;REGULAR-BUENO
6,8;0,63;0,12;3,8;0,0990;16;126;0,9969;3,28;0,61;9,5;REGULAR-MALO
7,6;0,55;0,21;2,2;0,0710;7;28;0,9964;3,28;0,55;9,7;REGULAR-MALO
7,6;0,55;0,21;2,2;0,0710;7;28;0,9964;3,28;0,55;9,7;REGULAR-MALO
7,8;0,59;0,33;2,0;0,0740;24;120;0,9968;3,25;0,54;9,4;REGULAR-MALO
7,3;0,58;0,30;2,4;0,0740;15;55;0,9968;3,46;0,59;10,2;REGULAR-MALO
11,5;0,30;0,60;2,0;0,0670;12;27;0,9981;3,11;0,97;10,1;REGULAR-BUENO
5,4;0,84;0,08;1,2;0,0460;13;93;0,9924;3,57;0,85;13,0;BUENO
6,9;1,09;0,06;2,1;0,0610;12;31;0,9948;3,51;0,43;11,4;MALO
9,6;0,32;0,47;1,4;0,0560;9;24;0,9970;3,22;0,82;10,3;BUENO
8,8;0,37;0,48;2,1;0,0970;39;145;0,9975;3,04;1,03;9,3;REGULAR-MALO
6,8;0,50;0,11;1,5;0,0750;16;49;0,9955;3,36;0,79;9,5;REGULAR-MALO
7,0;0,42;0,35;1,6;0,0880;16;39;0,9961;3,34;0,55;9,2;REGULAR-MALO
7,0;0,43;0,36;1,6;0,0890;14;37;0,9962;3,34;0,56;9,2;REGULAR-BUENO
12,8;0,30;0,74;2,6;0,0950;9;28;0,9994;3,20;0,77;10,8;BUENO
12,8;0,30;0,74;2,6;0,0950;9;28;0,9994;3,20;0,77;10,8;BUENO
7,8;0,57;0,31;1,8;0,0690;26;120;0,9963;3,29;0,53;9,3;REGULAR-MALO
7,8;0,44;0,28;2,7;0,1000;18;95;0,9966;3,22;0,67;9,4;REGULAR-MALO
11,0;0,30;0,58;2,1;0,0540;7;19;0,9980;3,31;0,88;10,5;BUENO
9,7;0,53;0,60;2,0;0,0390;5;19;0,9959;3,30;0,86;12,4;REGULAR-BUENO
8,0;0,73;0,24;2,8;0,0830;10;62;0,9969;3,35;0,56;10,0;REGULAR-BUENO
11,6;0,44;0,64;2,1;0,0590;5;15;0,9980;3,21;0,67;10,2;REGULAR-BUENO
8,2;0,57;0,26;2,2;0,0600;28;65;0,9959;3,30;0,43;10,1;REGULAR-MALO
7,8;0,74;0,08;2,4;0,0920;10;41;0,9974;3,24;0,71;9,8;REGULAR-BUENO
7,0;0,49;0,49;5,6;0,0600;26;121;0,9974;3,34;0,76;10,5;REGULAR-MALO
8,7;0,63;0,16;2,0;0,1010;13;49;0,9962;3,14;0,57;11,0;REGULAR-MALO
8,1;0,73;0,22;2,2;0,0720;11;41;0,9967;3,36;0,55;9,1;REGULAR-MALO
7,5;0,49;0,19;1,9;0,0760;10;44;0,9957;3,39;0,54;9,7;REGULAR-MALO
7,8;0,53;0,33;2,4;0,0800;24;144;0,9966;3,30;0,60;9,5;REGULAR-MALO
7,8;0,34;0,37;2,0;0,0820;24;58;0,9964;3,34;0,59;9,4;REGULAR-BUENO
7,4;0,53;0,26;2,0;0,1010;16;72;0,9957;3,15;0,57;9,4;REGULAR-MALO
6,8;0,61;0,04;1,5;0,0570;5;10;0,9953;3,42;0,60;9,5;REGULAR-MALO
8,6;0,65;0,25;2,0;0,0830;8;28;0,9982;3,28;0,60;10,0;REGULAR-BUENO
8,4;0,64;0,36;2,0;0,0890;15;55;0,9975;3,31;0,57;10,4;MALO
7,7;0,43;0,25;2,6;0,0730;29;63;0,9962;3,37;0,58;10,5;REGULAR-BUENO
8,9;0,59;0,50;2,0;0,3370;27;81;0,9964;3,04;1,61;9,5;REGULAR-BUENO
9,0;0,82;0,14;2,6;0,0890;9;23;0,9984;3,39;0,63;9,8;REGULAR-MALO
7,7;0,43;0,25;2,6;0,0730;29;63;0,9962;3,37;0,58;10,5;REGULAR-BUENO
6,9;0,52;0,25;2,6;0,0810;10;37;0,9969;3,46;0,50;11,0;REGULAR-MALO
5,2;0,48;0,04;1,6;0,0540;19;106;0,9927;3,54;0,62;12,2;BUENO
8,0;0,38;0,06;1,8;0,0780;12;49;0,9963;3,37;0,52;9,9;REGULAR-BUENO
8,5;0,37;0,20;2,8;0,0900;18;58;0,9980;3,34;0,70;9,6;REGULAR-BUENO
6,9;0,52;0,25;2,6;0,0810;10;37;0,9969;3,46;0,50;11,0;REGULAR-MALO
8,2;1,00;0,09;2,3;0,0650;7;37;0,9969;3,32;0,55;9,0;REGULAR-BUENO
7,2;0,63;0,00;1,9;0,0970;14;38;0,9968;3,37;0,58;9,0;REGULAR-BUENO
7,2;0,63;0,00;1,9;0,0970;14;38;0,9968;3,37;0,58;9,0;REGULAR-BUENO
7,2;0,65;0,00;1,9;0,0970;15;39;0,9968;3,37;0,58;9,2;REGULAR-BUENO
7,2;0,63;0,00;1,9;0,0970;14;38;0,9968;3,37;0,58;9,0;REGULAR-BUENO
8,2;1,00;0,09;2,3;0,0650;7;37;0,9969;3,32;0,55;9,0;REGULAR-BUENO
8,9;0,64;0,37;1,7;0,2630;5;62;0,9971;3,00;1,09;9,3;REGULAR-MALO
12,0;0,38;0,56;2,1;0,0930;6;24;0,9993;3,14;0,71;10,9;REGULAR-BUENO
7,7;0,58;0,10;1,8;0,1020;28;109;0,9957;3,08;0,49;9,8;REGULAR-BUENO
15,0;0,21;0,44;2,2;0,0750;10;24;100005,0000;3,07;0,84;9,2;BUENO
15,0;0,21;0,44;2,2;0,0750;10;24;100005,0000;3,07;0,84;9,2;BUENO
7,3;0,66;0,00;2,0;0,0840;6;23;0,9983;3,61;0,96;9,9;REGULAR-BUENO
7,1;0,68;0,07;1,9;0,0750;16;51;0,9969;3,38;0,52;9,5;REGULAR-MALO
8,2;0,60;0,17;2,3;0,0720;11;73;0,9963;3,20;0,45;9,3;REGULAR-MALO
7,7;0,53;0,06;1,7;0,0740;9;39;0,9962;3,35;0,48;9,8;REGULAR-BUENO
7,3;0,66;0,00;2,0;0,0840;6;23;0,9983;3,61;0,96;9,9;REGULAR-BUENO
10,8;0,32;0,44;1,6;0,0630;16;37;0,9985;3,22;0,78;10,0;REGULAR-BUENO
7,1;0,60;0,00;1,8;0,0740;16;34;0,9972;3,47;0,70;9,9;REGULAR-BUENO
11,1;0,35;0,48;3,1;0,0900;5;21;0,9986;3,17;0,53;10,5;REGULAR-MALO
7,7;0,78;0,42;1,9;0,0920;8;86;0,9959;3,23;0,59;9,5;REGULAR-MALO
7,1;0,60;0,00;1,8;0,0740;16;34;0,9972;3,47;0,70;9,9;REGULAR-BUENO
8,0;0,57;0,23;3,2;0,0730;17;119;0,9968;3,26;0,57;9,3;REGULAR-MALO
9,4;0,34;0,37;2,2;0,0750;5;13;0,9980;3,22;0,62;9,2;REGULAR-MALO
6,6;0,70;0,00;2,1;0,0750;12;56;0,9968;3,49;0,67;9,2;REGULAR-MALO
7,7;0,41;0,76;1,8;0,6110;8;45;0,9968;3,06;1,26;9,4;REGULAR-MALO
10,0;0,31;0,47;2,6;0,0850;14;33;0,9997;3,36;0,80;10,5;BUENO
7,9;0,33;0,23;1,7;0,0770;18;45;0,9963;3,29;0,65;9,3;REGULAR-MALO
7,0;0,98;0,04;2,0;0,0870;12;67;0,9957;3,35;0,60;9,4;MALO
8,0;0,52;0,03;1,7;0,0700;10;35;0,9958;3,34;0,57;10,0;REGULAR-MALO
7,9;0,37;0,23;1,8;0,0770;23;49;0,9963;3,28;0,67;9,3;REGULAR-MALO
12,5;0,56;0,49;2,4;0,0640;5;27;0,9999;3,08;0,87;10,9;REGULAR-MALO
11,8;0,26;0,52;1,8;0,0710;6;10;0,9968;3,20;0,72;10,2;BUENO
8,1;0,87;0,00;3,3;0,0960;26;61;100025,0000;3,60;0,72;9,8;MALO
7,9;0,35;0,46;3,6;0,0780;15;37;0,9973;3,35;0,86;12,8;MUY BUENO
